Date,Subject,Link,Title_1,Title_2,Title_3,Extract_Date
"Thursday, August 29th","ThoughtSpot Raises $248 Million; TSA to Test Facial Recognition in Vegas; Toyota, Suzuki Team Up",http://createsend.com/t/d-79AF8DD1B5FB119E2540EF23F30FEDED,ThoughtSpot Raises $248 Million,TSA to Test Facial Recognition in Vegas,"Toyota, Suzuki Team Up",2019-08-29
"Wednesday, August 28th",Linking EKG Data to Health Status; Ex-Google Engineer Charged in Theft Case; Synchrony's AI Push,http://createsend.com/t/d-A427D2A4C0EFD1F82540EF23F30FEDED,Linking EKG Data to Health Status,Ex-Google Engineer Charged in Theft Case,Synchrony's AI Push,2019-08-29
"Tuesday, August 27th",Robots May Soon Perform Home Appraisals; Helping Kids Deal With AI; Pony.ai and Toyota Team Up,http://createsend.com/t/d-B503896AA29F56592540EF23F30FEDED,Robots May Soon Perform Home Appraisals,Helping Kids Deal With AI,Pony.ai and Toyota Team Up,2019-08-29
"Monday, August 26th",Huawei Unveils AI Chip; Robots Are Coming to Judge Gymnastics; Naspers Eyes Machine Learning,http://createsend.com/t/d-5CCCECDBA202FB562540EF23F30FEDED,Huawei Unveils AI Chip,Robots Are Coming to Judge Gymnastics,Naspers Eyes Machine Learning,2019-08-29
"Friday, August 23rd",Executives Offer Lessons; Senior-Housing Company to Explore AI Use; EU Plans Facial-Recognition Limits,http://createsend.com/t/d-B1E4712AB017D6162540EF23F30FEDED,Executives Offer Lessons,Senior-Housing Company to Explore AI Use,EU Plans Facial-Recognition Limits,2019-08-29
"Thursday, August 22nd",Startup Aims to Democratize AI; Google DeepMind Co-Founder Placed on Leave; IBM in Open-Source Effort,http://createsend.com/t/d-683243B0474F62902540EF23F30FEDED,Startup Aims to Democratize AI,Google DeepMind Co-Founder Placed on Leave,IBM in Open-Source Effort,2019-08-29
"Wednesday, August 21st",Delivery Robot Startup Secures $40 Million; Financial Firms Paying for AI Talent; Sustainable Investing,http://createsend.com/t/d-868AA3767F46873D2540EF23F30FEDED,Delivery Robot Startup Secures $40 Million,Financial Firms Paying for AI Talent,Sustainable Investing,2019-08-29
"Tuesday, August 20th",Companies Bolster AI Governance; States to Launch Big Tech Antitrust Probe; A Giant Chip,http://createsend.com/t/d-B39DCA946E70469D2540EF23F30FEDED,Companies Bolster AI Governance,States to Launch Big Tech Antitrust Probe,A Giant Chip,2019-08-29
"Monday, August 19th",Airbus Looks to Trim Costs; Norsk Hydro Bulks Cyber Defenses; Sinovation's AI Startup Plans IPO,http://createsend.com/t/d-0A9961B684F652772540EF23F30FEDED,Airbus Looks to Trim Costs,Norsk Hydro Bulks Cyber Defenses,Sinovation's AI Startup Plans IPO,2019-08-29
"Friday, August 16th",Delta Sues Chatbot Provider Over Breach; UPS Takes Stake in Self-Driving Startup; High-Tech Farming,http://createsend.com/t/d-EF8739BAD099671C2540EF23F30FEDED,Delta Sues Chatbot Provider Over Breach,UPS Takes Stake in Self-Driving Startup,High-Tech Farming,2019-08-29
"Thursday, August 15th",AI Startup Boom Raises Questions of Exaggerated Tech Savvy; Airport Facial Recognition; Driverless Buses,http://createsend.com/t/d-E98D6BA7E25C8BBC2540EF23F30FEDED,AI Startup Boom Raises Questions of Exaggerated Tech Savvy,Airport Facial Recognition,Driverless Buses,2019-08-29
"Wednesday, August 14th",AI Deployed as Ransomware Defense; What a Voice Reveals; States Set Up AI Task Forces,http://createsend.com/t/d-273EBBE234E5C8282540EF23F30FEDED,AI Deployed as Ransomware Defense,What a Voice Reveals,States Set Up AI Task Forces,2019-08-29
"Tuesday, August 13th",Security Firm Uses AI to Deploy Resources; CBP's Facial Recognition Plans; Amazon Scout's Second City,http://createsend.com/t/d-2EE1F12EA5669D802540EF23F30FEDED,Security Firm Uses AI to Deploy Resources,CBP's Facial Recognition Plans,Amazon Scout's Second City,2019-08-29
"Monday, August 12th",Retailers Go Cashierless With AI; Algo-Powered Elevators,http://createsend.com/t/d-5C7490AC501F6CB92540EF23F30FEDED,Retailers Go Cashierless With AI,Algo-Powered Elevators,,2019-08-29
