IN_YRMO,Cat,Dog
2013-10,419,716
2013-11,312,611
2013-12,211,593
2014-01,216,632
2014-02,184,531
2014-03,239,650
2014-04,460,620
2014-05,759,707
2014-06,669,625
2014-07,695,674
2014-08,533,599
2014-09,583,640
2014-10,464,612
2014-11,377,618
2014-12,251,633
2015-01,229,616
2015-02,190,563
2015-03,253,612
2015-04,444,593
2015-05,885,739
2015-06,962,715
2015-07,648,586
2015-08,652,596
2015-09,616,560
2015-10,593,610
2015-11,363,670
2015-12,239,586
2016-01,178,629
2016-02,178,533
2016-03,230,583
2016-04,550,579
2016-05,779,769
2016-06,557,610
2016-07,455,573
2016-08,559,591
2016-09,464,558
2016-10,439,514
2016-11,372,601
2016-12,332,572
2017-01,220,597
2017-02,179,521
2017-03,261,591
2017-04,446,544
2017-05,756,611
2017-06,760,568
2017-07,568,620
2017-08,441,556
2017-09,472,505
2017-10,410,606
2017-11,314,520
2017-12,209,525
2018-01,181,557
2018-02,180,523
2018-03,205,602
2018-04,364,541
2018-05,725,538
2018-06,716,567
2018-07,588,608
2018-08,430,550
2018-09,494,659
2018-10,441,709
2018-11,317,590
2018-12,202,563
2019-01,183,645
2019-02,206,533
2019-03,310,670
2019-04,504,605
2019-05,970,686
2019-06,840,686
2019-07,731,656
2019-08,654,653
2019-09,636,611
2019-10,502,628
2019-11,393,614
2019-12,214,574
2020-01,167,566
2020-02,162,530
2020-03,126,338
2020-04,69,93
2020-05,179,140
2020-06,301,209
2020-07,308,225
2020-08,275,237
